Table Names-1,Table Names,Linkedin URL,Other Contact ,Contact/ Admin Contact,Company Mail,Other Contact,Contact,Job CTC,Contact ,Career  Contact,S No,Company Name,Location,Source,Post URL,HR Mail,HR Contact,Company URL,Google-Contact,Job Role,Career Contact,Career Mail,Linkedin Contact,HR Name
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,11,Integrated Personnel Services Limited,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3408311094/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=S2qGmj%2BfcFwSfZlhBHZ4nQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,www.integratedpersonnelservices.com,,Python Developer,91 22 42300200,coordinator@ipsgroup.co.in,022- 42300200,Chaithra Mudalagiri
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,12,Carbon,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3278733126/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=5HtGp3xqcrSepWbQBJXjfA%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.carbon3d.com/,,Endpoint Security Engineer,,info@carbon3d.com,1 (650) 285-6307,Nia S
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,13,Hitachi Vantara,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3253736640/?alternateChannel=search&refId=vzPshK%2F1mQbgbqrwfsckyw%3D%3D&trackingId=QPnEHQz5BFiXaqRf9PiHpw%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.hitachivantara.com/en-us/home.html,1-408-970-1000.,FullStack Developer,,,1 (678) 403-3035,Devi Shankar M.
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,14,Programmers.io,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3418341612/?alternateChannel=search&refId=Li2PQNyzNk4MxK4uRMOZmQ%3D%3D&trackingId=%2Fzp3DhZVxoCG1OCUP9xW0Q%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://programmers.io/,,Digital Analytics Specialist,,info@programmers.io,800-600-5822,Anvesha Singh
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,15,CDK Global,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3424164940/?alternateChannel=search&refId=kfngtF961t7dyJSHOL2Vbg%3D%3D&trackingId=%2BhFYQK%2BSUHJGRBJdaFvWNg%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.cdkglobal.com/,847-397-1700,Database Engineer,,info@cdk.com,44 (208) 567 8990,Swathi Venkat
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,16,Navtech,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3420197499/?alternateChannel=search&refId=mFSeW1Pe2VJQjUoRlmsxXQ%3D%3D&trackingId=YF9gWfjkS5IyVBS1OGfqMg%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.navtech.io,,Python Developer,,info@navtech.io,1(206)201-2626,Pragati Patil
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,17,Synopsys Inc,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3351359580/?alternateChannel=search&refId=Loy3l07bKwXlbcHkLug53A%3D%3D&trackingId=ZqekgCd%2BihQ3b1YGGvYTiw%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.synopsys.com,,Cloud Engineer - 42065BR,650-584-5000,,800-541-7737,Pavithra N
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,18,Pythian,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3406958736/?alternateChannel=search&refId=Loy3l07bKwXlbcHkLug53A%3D%3D&trackingId=rWgGe1itxs8Y24fRBWDI4w%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.pythian.com,,Cloud Infrastructure Engineer,,careers@pythian.com,91 40 4013 3997,Gracy S
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,19,Optum,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3423259799/?alternateChannel=search&refId=Loy3l07bKwXlbcHkLug53A%3D%3D&trackingId=NzCr4pUbRo3yVLSwDYOqDw%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.optum.com/,,Software Engineer,,,1-877-881-7618,Amar Malhotra
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,20,CIEL HR,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3348298644/?alternateChannel=search&refId=EWwUtq7dTdqkfhpd2MuKkw%3D%3D&trackingId=JcPdwytLsVzsB4cb4Ympmg%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.cielhr.com,,Python Developer,,info@cielhr.com,91 7816 000 111,Aboli Raut
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,21,Applied Standards & Innovations Tech. Pvt. Ltd.,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3406159746/?eBP=CwEAAAGFey65a3RynVVsb7Eqj1B0TkHLrfnEzSKH0XnsIL8TKaTVknjeKiOLbzB8jYhHKPIFEhDqGedqpW6RzW6AsocaQLCt8nY5BsvgXZ62CYUF3C8mqeYfYN0UUPYme6I1m0BO1mcrHZNhZCa0ASqrOtFU2DNq48FNNEJQEk64r9ohohq8Slk4BYwM09ZP42q7MUZvzxTrM3pHafjGKFTsq6-UF_x9yFzngdPY4HKDHoWdh1OyAMKJmfdYs-6ty-wNsSYNj68-F7Wllgg0mqaleO_8oM2YQaMXU6HvbY4uXYRX0eOJNfwhhWa4Lb8M9-aTn4XTSdrIdnNNm4xMfh9kXSqecH84-wozA-8bCgIPnt4ULsNjDunfd0iZLhKC96CZMjUdJr5M6sMWDJO1wOf4YANZC9J9EAlm&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=Wwe%2B4Vl9zWy%2BLkpJfXuLbA%3D%3D&trackingId=JDTFIOpDkJeae0X5bCMa9g%3D%3D&trk=flagship3_search_srp_jobs,,,http://www.appliedsni.com,,Java Spring Boot & Angular Developer,,ontact@appliedsni.com,(+91) 7676 151 600,Prashant Polshettiwar
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,22,Fresh Prints,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3367687715/?alternateChannel=search&refId=Wwe%2B4Vl9zWy%2BLkpJfXuLbA%3D%3D&trackingId=a8sQ%2FGhhyBcYJouUWhA60g%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.freshprints.com,,Data Engineer,,hi@freshprints.com,1 (917) 720 - 7465,Sindhuja Pantula
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,23,MusquareTechnologies Pvt Ltd,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3419628076/?alternateChannel=search&refId=Wwe%2B4Vl9zWy%2BLkpJfXuLbA%3D%3D&trackingId=xPmmKOyT26z7Doim0%2FfwAQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.musquaretech.com,,Full Stack Engineer,,info@musquaretech.com,91 73861 17982,Deepika B S
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,24,EXL,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/in/gayatribehera/,,91 9513942828,http://www.exlservice.com,,Python Developer,,,,Gayatri Behera
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,25,Silicon Labs,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3410057585/?alternateChannel=search&refId=UNeojKLZIUVHi8mjCkdhbQ%3D%3D&trackingId=wYsku0bgbmW5mdTn5QdVvQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.silabs.com,,DevOps Engineer,,,40 6903 1000,Raju Prasad
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,26,"
EPAM Systems","Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3292121068/?alternateChannel=search&refId=H4EsFyHxfOQTv2C%2BnFurig%3D%3D&trackingId=CN%2BHqG1DX8z6DGTBJi73kQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.epam.com,,Open Source Technology,,,1-267-759-9000,Ken Li Lim
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,27,Itish Business Solutions,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3401215789/?alternateChannel=search&refId=H4EsFyHxfOQTv2C%2BnFurig%3D%3D&trackingId=MRric2%2BDF5DfgqUVwm9QDQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.itish.in/,095021 47070,JAVA DEVELOPER,,admin@itish.in,91 9502147070,Vidhya Shree
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,28,OKDA SOLUTIONS,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3392846068/?alternateChannel=search&refId=H4EsFyHxfOQTv2C%2BnFurig%3D%3D&trackingId=YMXcRYdH7YSBn95qsZXWyw%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.okdasolutions.com,080998 60686,Java Developer_Logistics,,,,
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,29,Accolite Digital,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3410839334/?alternateChannel=search&refId=H4EsFyHxfOQTv2C%2BnFurig%3D%3D&trackingId=%2FPXzA9gh4CmMisTX9KEJ9A%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.accolite.com,,,,,080678 21234,Preethi S
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,30,Ivanti,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3407384878/?alternateChannel=search&refId=vh2S9JqXkH2i3NJgS4s0pw%3D%3D&trackingId=YARyRjY%2FlkY%2B7KzIMZ%2Ft3Q%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.ivanti.com,,Software Engineer- Fullstack,,contact@ivanti.com,1-888-253-6201,Indira Priyadarshini
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,31,Capgemini,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3237189951/?alternateChannel=search&refId=OMKO6VXDg6Mtoj1a4FZ%2FZw%3D%3D&trackingId=CnrXnPk9SF06JA4PlC%2FETQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.netcracker.com,,Java Backend Developer,9140 66235000,,1-781-419-3300,Sayanth NK
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,32,Dun & Bradstreet,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3412693085/?alternateChannel=search&refId=OMKO6VXDg6Mtoj1a4FZ%2FZw%3D%3D&trackingId=w051sBpwihe13VoMHosL%2Bg%3D%3D&trk=d_flagship3_search_srp_jobs,,0808 239 8944,http://www.dnb.com,,Java Fullstack Engineer I - (R-13416),,,91 22 4941 6666.,Anjali S
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,33,PamTen Inc,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/in/vijaya-nagireddy/,vijaya.nagireddy@pamten.com,,https://www.pamten.com/,1 609-212-0524,Java developer with AWS,,,609-212-0524,Vijaya Nagireddy
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,34,Infosys BPM,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3251154000/?alternateChannel=search&refId=MyssO88mOam6VBN85Sh3Jg%3D%3D&trackingId=Dy2Oj%2F86zTTsPp5vgIPgmw%3D%3D&trk=d_flagship3_search_srp_jobs,suresha02@infosys.com,,https://www.infosysbpm.com,,System Engineer,,,040 6642 0000,Suresh vi
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,35,VEGA Intellisoft Pvt Ltd,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3409362269/?alternateChannel=search&refId=MyssO88mOam6VBN85Sh3Jg%3D%3D&trackingId=Jsmoo6pVMd7c7RZtMa5pAg%3D%3D&trk=d_flagship3_search_srp_jobs,rasmi@vegaintellisoft.com,,http://www.vegaintellisoft.com,,Java Developer with AWS,9.8843e+09,info@vegaintellisoft.com,91 95009 63420,Rasmi U
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,36,NCR Corporation,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3398310439/?alternateChannel=search&refId=MyssO88mOam6VBN85Sh3Jg%3D%3D&trackingId=LZ1f61vbCSlBzL6XRFoj1Q%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.ncr.com,,Software Engineer II,,,040 6799 3388,Ann Roy
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,37,Horizontal Digital,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3422559099/?alternateChannel=search&refId=zlX2rbxRbJMC36LFbv8Daw%3D%3D&trackingId=l5fgh2EZQFM0vk6u46to4Q%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://horizontaldigital.com,,Sitecore Developer,,,971 4 566 9301,Shreya Bhardwaj
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,38,Genisys,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3409424162/?alternateChannel=search&refId=zlX2rbxRbJMC36LFbv8Daw%3D%3D&trackingId=OZZR7tACYVRZ75cMjG6FWA%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.indiagenisys.com,,Full Stack Developer - Python/Django,9.17862e+11,contact@indiagenisys.com,9.17862e+11,Genisys HR
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,39,RIG Enterprise Application,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3417270257/?alternateChannel=search&refId=zlX2rbxRbJMC36LFbv8Daw%3D%3D&trackingId=eSzoSFVtdltWsgnPjqNa8w%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.rigaps.com,,DotNet Full Stack Developer,,support@rigaps.com,9.9895e+09,Zeba Ara
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,40,ZF Group,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3420535621/?alternateChannel=search&refId=zlX2rbxRbJMC36LFbv8Daw%3D%3D&trackingId=cRt4HYANb%2BekyG%2BBDfqSTw%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.zf.com,040 6799 5000,Systems Engineer,,,91 213 562 4800.,Anbuselvan
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,41,OptimHire,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3419656438/?alternateChannel=search&refId=c9YVP0rqRgg8rHNL8joBOA%3D%3D&trackingId=1X7E8AkUX7o%2B624HI9fcig%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://OptimHire.com,,Full Stack Engineer,,,91 9875 492266,Rishikesh Shankar
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,42,BCC UNITED,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3358541206/?alternateChannel=search&refId=c9YVP0rqRgg8rHNL8joBOA%3D%3D&trackingId=eJqzWVl1asfLBgmlC8OsdQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.bccunited.com/,,Java full stack developer,,BCCUnitedEmail,040-67188888,Sudheer K
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,43,Proxim Quest IT Solutions,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3392595823/?alternateChannel=search&refId=c9YVP0rqRgg8rHNL8joBOA%3D%3D&trackingId=K%2B857rCLmBOyRKRS2ghWGQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.proximquestit.com,040 4855 2458,Full Stack Developer - Python/Django,,,,Rashmi Yadav
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,44,GeoVista,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3408470051/?alternateChannel=search&refId=c9YVP0rqRgg8rHNL8joBOA%3D%3D&trackingId=GvkeCF4Bd5RGoaeFEN5nzQ%3D%3D&trk=d_flagship3_search_srp_jobs,akhilgadu4@gmail.com,,http://www.geovista.in,,Geovista Technologies - .Net Developer - C#/VB/SQL Server,,,040-40155251,Akhilesh Kumar
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,45,Arcadis,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3313686648/?alternateChannel=search&refId=cm%2FnC2DLnXMaxR88ZlVYWw%3D%3D&trackingId=YKa%2F4paPaNQ78OEc121OWw%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.arcadis.com,080 3059 1409,Sharepoint Developer,,,31 20 201 1011,Pooja Sharma
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,46,Keka HR,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3409401377/?alternateChannel=search&refId=cm%2FnC2DLnXMaxR88ZlVYWw%3D%3D&trackingId=4tdmiJpmmfz6RAh6vUYQyQ%3D%3D&trk=d_flagship3_search_srp_jobs,,,http://www.keka.com,900 069 5500,Front End Developer,,,7.81595e+09,Pallavi Khapekar
